scanname,Scan008
2195.8093260000001,85
2196.983154,81
2198.1572270000001,102
2199.330078,75
2200.5024410000001,107
2201.673828,50
2202.8447270000001,51
2204.0151369999999,101
2205.1843260000001,91
2206.3532709999999,91
2207.52124,76
2208.688721,99
2209.8552249999998,67
2211.0214839999999,96
2212.1865229999999,111
2213.3510740000002,91
2214.5151369999999,81
2215.6784670000002,63
2216.8408199999999,77
2218.0024410000001,95
2219.163818,90
2220.3242190000001,87
2221.4838869999999,50
2222.6428219999998,74
2223.8010250000002,77
2224.95874,43
2226.1154790000001,85
2227.2719729999999,59
2228.4272460000002,68
2229.5822750000002,66
2230.736328,71
2231.8896479999999,61
2233.0427249999998,103
2234.1945799999999,92
2235.3459469999998,68
2236.4965820000002,77
2237.6469729999999,43
2238.7958979999999,85
2239.9445799999999,47
2241.0927729999999,84
2242.23999,70
2243.3862300000001,66
2244.5322270000001,85
2245.67749,73
2246.8217770000001,55
2247.9658199999999,69
2249.1088869999999,96
2250.251221,63
2251.3930660000001,81
2252.5341800000001,91
2253.6745609999998,52
2254.8142090000001,56
2255.9528810000002,78
2257.0915530000002,50
2258.2292480000001,84
2259.3659670000002,71
2260.5021969999998,81
2261.6376949999999,87
2262.7729490000002,59
2263.9067380000001,61
2265.0405270000001,40
2266.173096,56
2267.3054200000001,86
2268.4370119999999,73
2269.5676269999999,78
2270.6982419999999,86
2271.827393,53
2272.9560550000001,107
2274.0844729999999,55
2275.2114259999998,84
2276.338135,92
2277.4643550000001,55
2278.5898440000001,69
2279.7143550000001,79
2280.8383789999998,66
2281.961914,113
2283.0844729999999,63
2284.2065429999998,44
2285.3278810000002,83
2286.4484859999998,81
2287.568115,33
2288.6875,88
2289.8063959999999,92
2290.9243160000001,48
2292.0415039999998,57
2293.158203,74
2294.2741700000001,100
2295.3891600000002,63
2296.5036620000001,57
2297.6176759999998,50
2298.7309570000002,75
2299.8435060000002,46
2300.9553219999998,35
2302.0666500000002,42
2303.1772460000002,66
2304.2871089999999,73
2305.39624,61
2306.5048830000001,81
2307.6127929999998,28
2308.7197270000001,95
2309.8266600000002,58
2310.9323730000001,93
2312.0373540000001,77
2313.141846,79
2314.2460940000001,96
2315.3491210000002,86
2316.4516600000002,53
2317.553711,42
2318.6547850000002,70
2319.7553710000002,68
2320.8552249999998,68
2321.9545899999998,46
2323.0532229999999,67
2324.1508789999998,61
2325.248047,40
2326.3447270000001,52
2327.4406739999999,81
2328.5361330000001,39
2329.630615,70
2330.7246089999999,47
2331.8176269999999,92
2332.9101559999999,65
2334.0021969999998,38
2335.09375,76
2336.1840820000002,64
2337.2741700000001,36
2338.3635250000002,49
2339.451904,59
2340.540039,55
2341.6274410000001,53
